item,class_id,class_name,th,default_name,obj_type,obj_mane,output_Measurement
Demand,166723584,Demand Power,166723597,Block Demand Active Power Into the Load A,RegisterObj,NumericVariable_Register,
Demand,166723584,Demand Power,166723598,Block Demand Active Power Into the Load B,RegisterObj,NumericVariable_Register,
Demand,166723584,Demand Power,166723599,Block Demand Active Power Into the Load C,RegisterObj,NumericVariable_Register,
Demand,166723584,Demand Power,166723600,Block Demand Reactive Power Into the Load A,RegisterObj,NumericVariable_Register,
Demand,166723584,Demand Power,166723601,Block Demand Reactive Power Into the Load B,RegisterObj,NumericVariable_Register,
Demand,166723584,Demand Power,166723602,Block Demand Reactive Power Into the Load C,RegisterObj,NumericVariable_Register,
Demand,166723584,Demand Power,166723603,Block Demand Active Power Predicted,RegisterObj,NumericVariable_Register,
Demand,166723584,Demand Power,166723604,Block Demand Reactive Power Predicted,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724609,Peak Block Demand Active Power,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724610,Peak Block Demand Reactive Power,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724611,Peak Block Demand Apparent Power,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724612,Peak Block Demand Active Power Total,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724613,Peak Block Demand Active Power Into the Load,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724614,Peak Block Demand Active Power Out of the Load,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724615,Peak Block Demand Reactive Power Total,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724616,Peak Block Demand Reactive Power Into the Load,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724617,Peak Block Demand Reactive Power Out of the Load,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724618,Peak Block Demand Apparent Power Total,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724619,Peak Block Demand Apparent Power Into the Load,RegisterObj,NumericVariable_Register,
Demand,166724608,Peak Demand Power,166724620,Peak Block Demand Apparent Power Out of the Load,RegisterObj,NumericVariable_Register,
Energy,169869312,Directional Energy,169869313,Active Energy Into the Load,RegisterObj,NumericVariable_Register,
Energy,169869312,Directional Energy,169869314,Active Energy Out of the Load,RegisterObj,NumericVariable_Register,
Energy,169869312,Directional Energy,169869315,Active Energy,RegisterObj,NumericVariable_Register,
Energy,169869312,Directional Energy,169869316,Reactive Energy Into the Load,RegisterObj,NumericVariable_Register,
